symbol,AMZN,AXON,GOOGL,META,MSFT,NVDA,UNH,SOFI,PLTR,GSPC
AMZN,1,0.3656,0.619,0.491,0.6259,0.5418,0.0482,0.4141,0.463,0.6798
AXON,0.3656,1,0.2359,0.2703,0.4109,0.3289,0.0692,0.37,0.4908,0.4412
GOOGL,0.619,0.2359,1,0.4324,0.5518,0.4321,0.0746,0.2696,0.3552,0.6207
META,0.491,0.2703,0.4324,1,0.4919,0.4236,-0.0182,0.3433,0.3143,0.5202
MSFT,0.6259,0.4109,0.5518,0.4919,1,0.5726,0.1264,0.3701,0.4608,0.6713
NVDA,0.5418,0.3289,0.4321,0.4236,0.5726,1,-0.0103,0.4121,0.4739,0.6941
UNH,0.0482,0.0692,0.0746,-0.0182,0.1264,-0.0103,1,0.018,-0.0258,0.157
SOFI,0.4141,0.37,0.2696,0.3433,0.3701,0.4121,0.018,1,0.4699,0.4908
PLTR,0.463,0.4908,0.3552,0.3143,0.4608,0.4739,-0.0258,0.4699,1,0.4912
GSPC,0.6798,0.4412,0.6207,0.5202,0.6713,0.6941,0.157,0.4908,0.4912,1
