symbol,AMZN,AXON,GOOGL,META,MSFT,NVDA,UNH,SOFI,PLTR,GSPC
AMZN,0.111067,0.062845,0.065217,0.067775,0.055157,0.084012,0.00542,0.086032,0.10119,0.035948
AXON,0.062845,0.266079,0.038465,0.057746,0.056051,0.078948,0.012036,0.118966,0.166046,0.03611
GOOGL,0.065217,0.038465,0.09995,0.056619,0.046129,0.06357,0.007957,0.053121,0.07364,0.031134
META,0.067775,0.057746,0.056619,0.171582,0.053878,0.081642,-0.002549,0.088634,0.085381,0.034187
MSFT,0.055157,0.056051,0.046129,0.053878,0.069929,0.070452,0.011274,0.061,0.079922000000000007,0.028164
NVDA,0.084012,0.078948,0.06357,0.081642,0.070452,0.216518,-0.001609,0.119516,0.14462,0.051241
UNH,0.00542,0.012036,0.007957,-0.002549,0.011274,-0.001609,0.113758,0.003783,-0.0057,0.008401
SOFI,0.086032,0.118966,0.053121,0.088634,0.061,0.119516,0.003783,0.388562,0.192108,0.048542
PLTR,0.10119,0.166046,0.07364,0.085381,0.079922000000000007,0.14462,-0.0057,0.192108,0.43012,0.051108
GSPC,0.035948,0.03611,0.031134,0.034187,0.028164,0.051241,0.008401,0.048542,0.051108,0.025174
