pc,term,beta,tstat,p,adj_r2
PC1,(Intercept),-0.012096172575756424,-0.22474767550342561,0.8222522190400028,0.48064209151039994
PC1,d_rate,-2.6992612087309205,-2.9038962290688435,0.003821317390612435,0.48064209151039994
PC1,d_slope,1.9228561959358332,1.3293370307389432,0.18424286334308432,0.48064209151039994
PC1,d_infl,3.390243141475602,2.3927858767945556,0.017028015421775546,0.48064209151039994
PC1,d_credit,-5.396609327907446,-3.6883728271400336,2.4622275458374964e-4,0.48064209151039994
PC1,r_vix,-7.866042712043401,-14.334071627633309,2.8002056043242523e-40,0.48064209151039994
PC1,r_oil,-0.9184344866444123,-0.5973000676545043,0.5505327723702826,0.48064209151039994
PC1,r_usd,-23.574316657346316,-1.4828953193876273,0.13862814821519617,0.48064209151039994
PC2,(Intercept),0.001704062940131601,0.04505359970634449,0.9640796011271628,0.008188597545133236
PC2,d_rate,-0.4159795187759072,-0.7964856917576272,0.4260653463796844,0.008188597545133236
PC2,d_slope,1.1478835529250282,1.5337623742308073,0.1256161021842183,0.008188597545133236
PC2,d_infl,-0.8940129903157557,-1.0799291969836078,0.2806083403002315,0.008188597545133236
PC2,d_credit,-0.07141591758492485,-0.07917567219713632,0.9369193373535364,0.008188597545133236
PC2,r_vix,-0.005731433345274524,-0.016383449982468063,0.9869339383723255,0.008188597545133236
PC2,r_oil,0.5704355099592485,0.6404873072452743,0.5221007693797122,0.008188597545133236
PC2,r_usd,16.393262870792366,1.9559943414267165,0.05093021153722418,0.008188597545133236
PC3,(Intercept),-0.001953350464689034,-0.05263365136878804,0.9580413521265876,0.01013584969521697
PC3,d_rate,0.030327038641671442,0.0697503907628136,0.9444156121593209,0.01013584969521697
PC3,d_slope,-1.5853140505862822,-2.5746747813589996,0.01027236728177448,0.01013584969521697
PC3,d_infl,-0.5799565662075727,-0.9713720405086412,0.331755119981725,0.01013584969521697
PC3,d_credit,0.10883530840181695,0.1637286532608595,0.8699999871045444,0.01013584969521697
PC3,r_vix,0.09696390633949502,0.29149689311398524,0.7707722350136897,0.01013584969521697
PC3,r_oil,0.99164643602842,1.2028518922125624,0.22950886322135855,0.01013584969521697
PC3,r_usd,-8.930105429799047,-1.3104550641971282,0.1905441827259237,0.01013584969521697
