pc,term,beta,tstat,p,adj_r2
PC1,(Intercept),0.027845360517878878,0.31699801557786017,0.7514771943189558,0.4437670143139876
PC1,d_rate,-3.7869307627560174,-3.3347375425730967,9.668790013056035e-4,0.4437670143139876
PC1,d_slope,2.851697650699505,1.5885038879126898,0.11328116698841383,0.4437670143139876
PC1,d_infl,3.0120178592541222,1.6656505797572227,0.09688178248211907,0.4437670143139876
PC1,d_credit,-7.116973618159515,-3.4935912024614253,5.52315577857612e-4,0.4437670143139876
PC1,r_vix,-8.086413951641378,-10.686289314245924,1.2258740409802701e-22,0.4437670143139876
PC1,r_oil,-0.8457620279000716,-0.37061675022433854,0.7111983110335085,0.4437670143139876
PC1,r_usd,-20.113656916549868,-1.15822526871478,0.24774176025147093,0.4437670143139876
PC2,(Intercept),-0.0059674873558287185,-0.09067255099766487,0.9278164745438549,0.002561166533054715
PC2,d_rate,0.0480224502362422,0.06838986868455112,0.9455232428954299,0.002561166533054715
PC2,d_slope,-0.9108002174180704,-1.0198034259875488,0.3086865912976022,0.002561166533054715
PC2,d_infl,-1.0419222230211294,-1.150004713467556,0.25110599174938486,0.002561166533054715
PC2,d_credit,-0.6545923625665154,-0.6199977172673289,0.5357546820390591,0.002561166533054715
PC2,r_vix,0.6591591705097096,1.2371049384258652,0.21706647948903757,0.002561166533054715
PC2,r_oil,1.647518012599226,1.4639374952298143,0.14431311406556818,0.002561166533054715
PC2,r_usd,5.6476500683193915,0.5584532957975687,0.5769733595837054,0.002561166533054715
PC3,(Intercept),0.0029140038558524086,0.04926705119864678,0.9607409854380281,0.016192513439931333
PC3,d_rate,0.18117096755185028,0.2825980148090842,0.777690131466505,0.016192513439931333
PC3,d_slope,2.5818876559021042,3.1622588320706937,0.001734459778140212,0.016192513439931333
PC3,d_infl,-0.63935610279015,-0.7539771025949686,0.4514854464254012,0.016192513439931333
PC3,d_credit,-0.8692032974434969,-0.969996356038373,0.33287078055248465,0.016192513439931333
PC3,r_vix,0.011207092290956528,0.01838712029833112,0.9853428928460609,0.016192513439931333
PC3,r_oil,0.13355540881843425,0.11158665737294418,0.9112296979745802,0.016192513439931333
PC3,r_usd,0.5546897705062724,0.04853695489849741,0.9613223092772349,0.016192513439931333
