week,stock,factor,beta
2015-12-28,AMZN,d_rate,-0.02688055798248816
2015-12-28,AMZN,d_credit,-0.13987781581520164
2015-12-28,AMZN,r_vix,-0.05564190645105042
2015-12-28,AMZN,GSPC,0.596132674801303
2016-01-04,AMZN,d_rate,-0.041813600218919736
2016-01-04,AMZN,d_credit,-0.15046759247753516
2016-01-04,AMZN,r_vix,-0.03252327189265246
2016-01-04,AMZN,GSPC,0.9382310272132361
2016-01-11,AMZN,d_rate,-0.043254691582207745
2016-01-11,AMZN,d_credit,-0.1694488905841652
2016-01-11,AMZN,r_vix,-0.004332171915578808
2016-01-11,AMZN,GSPC,1.1535375632169997
2016-01-18,AMZN,d_rate,-0.036369249900483146
2016-01-18,AMZN,d_credit,-0.14998999411517533
2016-01-18,AMZN,r_vix,1.6036045344950485e-4
2016-01-18,AMZN,GSPC,1.1786070741298666
2016-01-25,AMZN,d_rate,0.013364285351748828
2016-01-25,AMZN,d_credit,-0.06959489508168076
2016-01-25,AMZN,r_vix,-0.03226835453870832
2016-01-25,AMZN,GSPC,1.099885209413494
2016-02-01,AMZN,d_rate,0.02694059640919282
2016-02-01,AMZN,d_credit,-0.05753364630365789
2016-02-01,AMZN,r_vix,-0.014394125582593913
2016-02-01,AMZN,GSPC,1.3857629924142956
2016-02-08,AMZN,d_rate,0.027167058655914022
2016-02-08,AMZN,d_credit,-0.04775487202130505
2016-02-08,AMZN,r_vix,-0.01385496625856612
2016-02-08,AMZN,GSPC,1.4128679845956094
2016-02-15,AMZN,d_rate,0.028730881530150725
2016-02-15,AMZN,d_credit,-0.057410359972072285
2016-02-15,AMZN,r_vix,-0.011255551787869942
2016-02-15,AMZN,GSPC,1.4258875114583631
2016-02-22,AMZN,d_rate,0.02123816323735187
2016-02-22,AMZN,d_credit,-0.075337707343802
2016-02-22,AMZN,r_vix,-0.013114204162232475
2016-02-22,AMZN,GSPC,1.4089940699453467
2016-02-29,AMZN,d_rate,0.020346736884171962
2016-02-29,AMZN,d_credit,-0.04555909136970359
2016-02-29,AMZN,r_vix,-0.017629725279724992
2016-02-29,AMZN,GSPC,1.3833301925338415
2016-03-07,AMZN,d_rate,0.025116682940327754
2016-03-07,AMZN,d_credit,0.010362376662167836
2016-03-07,AMZN,r_vix,-0.02697280755266222
2016-03-07,AMZN,GSPC,1.3487306569280135
2016-03-14,AMZN,d_rate,0.04299560231960594
2016-03-14,AMZN,d_credit,0.06521112598260699
2016-03-14,AMZN,r_vix,-0.019117826868624205
2016-03-14,AMZN,GSPC,1.430430106835588
2016-03-21,AMZN,d_rate,0.04162817714290227
2016-03-21,AMZN,d_credit,0.058067280662422796
2016-03-21,AMZN,r_vix,-0.024499331232351117
2016-03-21,AMZN,GSPC,1.3772948672975078
2016-03-28,AMZN,d_rate,0.0406703199087565
2016-03-28,AMZN,d_credit,0.059211876654891464
2016-03-28,AMZN,r_vix,-0.02417904136805243
2016-03-28,AMZN,GSPC,1.382719623053045
2016-04-04,AMZN,d_rate,0.03998857898319876
2016-04-04,AMZN,d_credit,0.05266263091733362
2016-04-04,AMZN,r_vix,-0.023284744914494553
2016-04-04,AMZN,GSPC,1.3836083991660857
2016-04-11,AMZN,d_rate,0.03684477661284654
2016-04-11,AMZN,d_credit,0.041064313895629236
2016-04-11,AMZN,r_vix,-0.022786921377666552
2016-04-11,AMZN,GSPC,1.3874402570532898
2016-04-18,AMZN,d_rate,0.01016598890012797
2016-04-18,AMZN,d_credit,9.95818661964332e-4
2016-04-18,AMZN,r_vix,-0.022924360263422643
2016-04-18,AMZN,GSPC,1.262084110758302
2016-04-25,AMZN,d_rate,0.03153923535216503
2016-04-25,AMZN,d_credit,0.0072598391630783006
2016-04-25,AMZN,r_vix,8.496122265083947e-4
2016-04-25,AMZN,GSPC,1.3408816636083851
2016-05-02,AMZN,d_rate,0.027563704141938355
2016-05-02,AMZN,d_credit,0.0020561859092530694
2016-05-02,AMZN,r_vix,-0.004972905855624204
2016-05-02,AMZN,GSPC,1.2978327346972245
2016-05-09,AMZN,d_rate,0.023818727950555188
2016-05-09,AMZN,d_credit,0.018732925990083214
2016-05-09,AMZN,r_vix,-0.00677496125019335
2016-05-09,AMZN,GSPC,1.3090727925022674
2016-05-16,AMZN,d_rate,0.017990448766315944
2016-05-16,AMZN,d_credit,0.021286348737192623
2016-05-16,AMZN,r_vix,-0.009972822497429685
2016-05-16,AMZN,GSPC,1.2977265707100574
2016-05-23,AMZN,d_rate,0.021377386688829637
2016-05-23,AMZN,d_credit,0.023034823619556177
2016-05-23,AMZN,r_vix,-0.012205630290993292
2016-05-23,AMZN,GSPC,1.2565999742101561
2016-05-30,AMZN,d_rate,0.027896669373538664
2016-05-30,AMZN,d_credit,0.02573844758333962
2016-05-30,AMZN,r_vix,-0.011063989786461557
2016-05-30,AMZN,GSPC,1.2537869642126174
2016-06-06,AMZN,d_rate,0.02998225288024278
2016-06-06,AMZN,d_credit,0.028187842913365287
2016-06-06,AMZN,r_vix,-0.019366767537751496
2016-06-06,AMZN,GSPC,1.2015724104539995
2016-06-13,AMZN,d_rate,0.02851450429866689
2016-06-13,AMZN,d_credit,0.03218301339640245
2016-06-13,AMZN,r_vix,-0.019659291629825534
2016-06-13,AMZN,GSPC,1.2148345356774672
2016-06-20,AMZN,d_rate,0.033477701453065625
2016-06-20,AMZN,d_credit,0.03672315122559486
2016-06-20,AMZN,r_vix,-0.018332792152369347
2016-06-20,AMZN,GSPC,1.218943646061882
2016-06-27,AMZN,d_rate,0.04027390936869005
2016-06-27,AMZN,d_credit,0.045835057385540855
2016-06-27,AMZN,r_vix,-0.013877710952873653
2016-06-27,AMZN,GSPC,1.2412296018787647
2016-07-04,AMZN,d_rate,0.03723728762495008
2016-07-04,AMZN,d_credit,0.03879321588869981
2016-07-04,AMZN,r_vix,-0.015851119311579436
2016-07-04,AMZN,GSPC,1.224582734714438
2016-07-11,AMZN,d_rate,0.02605474747722423
2016-07-11,AMZN,d_credit,0.05418377075760191
2016-07-11,AMZN,r_vix,-0.002106644847916825
2016-07-11,AMZN,GSPC,1.2878849182243157
2016-07-18,AMZN,d_rate,0.04256526385202193
2016-07-18,AMZN,d_credit,0.08996940551752759
2016-07-18,AMZN,r_vix,-2.5622241895520285e-4
2016-07-18,AMZN,GSPC,1.446003819919623
2016-07-25,AMZN,d_rate,0.039775852122766006
2016-07-25,AMZN,d_credit,0.10072793010769387
2016-07-25,AMZN,r_vix,-0.002375036118500071
2016-07-25,AMZN,GSPC,1.460698024440648
2016-08-01,AMZN,d_rate,0.03388436487346584
2016-08-01,AMZN,d_credit,0.09141595754067214
2016-08-01,AMZN,r_vix,-0.001327573932209149
2016-08-01,AMZN,GSPC,1.4541847648368411
2016-08-08,AMZN,d_rate,0.033878207753873714
2016-08-08,AMZN,d_credit,0.09371501307210064
2016-08-08,AMZN,r_vix,-0.0010447262449785266
2016-08-08,AMZN,GSPC,1.4615187493896475
2016-08-15,AMZN,d_rate,0.029467990677566284
2016-08-15,AMZN,d_credit,0.09623284193354993
2016-08-15,AMZN,r_vix,-4.5422111214639216e-5
2016-08-15,AMZN,GSPC,1.4852738648896364
2016-08-22,AMZN,d_rate,0.01891409766068195
2016-08-22,AMZN,d_credit,0.07474776595211267
2016-08-22,AMZN,r_vix,0.00835136908564022
2016-08-22,AMZN,GSPC,1.5034101152631285
2016-08-29,AMZN,d_rate,0.019146053224956373
2016-08-29,AMZN,d_credit,0.07631037590714185
2016-08-29,AMZN,r_vix,0.013625700805876646
2016-08-29,AMZN,GSPC,1.5566924939162319
2016-09-05,AMZN,d_rate,0.015953651466694106
2016-09-05,AMZN,d_credit,0.07411527220607356
2016-09-05,AMZN,r_vix,0.019251559099567377
2016-09-05,AMZN,GSPC,1.5619144540365013
2016-09-12,AMZN,d_rate,0.019508591980706775
2016-09-12,AMZN,d_credit,0.07551784539942287
2016-09-12,AMZN,r_vix,0.018985983056284485
2016-09-12,AMZN,GSPC,1.5625074143655826
2016-09-19,AMZN,d_rate,0.021142103852255366
2016-09-19,AMZN,d_credit,0.07858861016690737
2016-09-19,AMZN,r_vix,0.011234523728206249
2016-09-19,AMZN,GSPC,1.502473685060278
2016-09-26,AMZN,d_rate,0.018319538376516654
2016-09-26,AMZN,d_credit,0.10066674924048831
2016-09-26,AMZN,r_vix,0.015176422247442607
2016-09-26,AMZN,GSPC,1.5793647749193778
2016-10-03,AMZN,d_rate,0.03176242793110953
2016-10-03,AMZN,d_credit,0.10142623537706513
2016-10-03,AMZN,r_vix,0.014801426610585056
2016-10-03,AMZN,GSPC,1.6207540173857822
2016-10-10,AMZN,d_rate,0.032788099826947595
2016-10-10,AMZN,d_credit,0.08910166820750494
2016-10-10,AMZN,r_vix,0.016627626811912516
2016-10-10,AMZN,GSPC,1.6053161503849098
2016-10-17,AMZN,d_rate,0.03347177154401393
2016-10-17,AMZN,d_credit,0.0909235236801987
2016-10-17,AMZN,r_vix,0.017192112684101944
2016-10-17,AMZN,GSPC,1.595812322168328
2016-10-24,AMZN,d_rate,0.008797032235366077
