symbol,rows,first_date,last_date,refreshed_at
AMZN,2934,2015-01-02,2026-09-02,2026-09-03 15:39:26 +07
AXON,2934,2015-01-02,2026-09-02,2026-09-03 15:39:26 +07
GOOGL,2934,2015-01-02,2026-09-02,2026-09-03 15:39:26 +07
META,2934,2015-01-02,2026-09-02,2026-09-03 15:39:26 +07
MSFT,2934,2015-01-02,2026-09-02,2026-09-03 15:39:26 +07
NVDA,2934,2015-01-02,2026-09-02,2026-09-03 15:39:26 +07
PLTR,1488,2020-09-30,2026-09-02,2026-09-03 15:39:26 +07
SOFI,1423,2021-01-04,2026-09-02,2026-09-03 15:39:26 +07
UNH,2934,2015-01-02,2026-09-02,2026-09-03 15:39:26 +07
^GSPC,2934,2015-01-02,2026-09-02,2026-09-03 15:39:26 +07
